organization,organization_dataset,org_SiteNo,Site_Name,nhdpv2_REACHCODE,state,county,huc8,huc4,stream_type,lat,long,Field13,Field14,start,end,status,period_of_record__years_,period_of_record__dates_,interval,meas_freq,method,unit,instrumentation,accuracy_categorical_____02ft___02__05ft___05__1_ft____1ft_,download_frequency__weekly_monthly_,rating_curve_available_,rating_curve_updated,format,availability,purpose,auxilary_data,photos,url,Catalog_SiteNo,contact_email,position_title,supervisor_contact,data_notes,ecoregion,Gage_No
Idaho Power,,13065000,Blackfoot Reservoir near Henry,,Idaho,Caribou,17040207.0,1704.0,unknown,43.003455,-111.716323,,,8/27/2008,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13065000/DataSet/HeadWater/60/Interval/Latest,,CRundberg@idahopower.com,,,,,1235
Idaho Power,,13153700,Bliss Dam,,Idaho,Gooding ,17040212.0,1704.0,unknown,42.91401,-115.0707,,,10/1/2012,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13153700/DataSet/HeadWater/15/Interval/Latest,,CRundberg@idahopower.com,,,,,1236
Idaho Power,,13289700,Brownlee Reservoir near Brownlee,,Idaho,Washington,17050201.0,1705.0,unknown,44.835556,-116.899445,,,10/13/2003,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13289700/DataSet/HeadWater/Derived-15/Interval/Latest,,CRundberg@idahopower.com,,,,,1237
Idaho Power,,13227000,Bully Creek near Vale,,Oregon,Malheur,17050118.0,1705.0,unknown,43.952778,-117.338611,,,6/14/2007,current,active,,,daily,continuous,rated discharge,cfs,,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13227000/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1238
Idaho Power,,13275000,Burnt River at Huntington,,Oregon,Baker,17050202.0,1705.0,unknown,44.355278,-117.272778,,,6/1/1962,current,active,,,daily,continuous,rated discharge,"cfs, ft",,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13275000/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1239
Idaho Power,,13274020,Burnt River near Bridgeport,,Oregon,Baker,17050202.0,1705.0,unknown,44.503635,-117.728154,,,3/14/2007,current,active,,,daily,continuous,rated discharge,"cfs, ft",,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13274020/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1240
Idaho Power,,13170340,CJ Skrike HW at Cottonwood Park near Bruneau,,Idaho,Owyhee,17050102.0,1705.0,unknown,42.911064,-115.886277,,,3/5/2013,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13170340/DataSet/HeadWater/15/Interval/Latest,,CRundberg@idahopower.com,,,,,1241
Idaho Power,,13171495,CJ Skrike Reservoir at Boat Dock near CJ Strike Dam,,Idaho,Owyhee,17050101.0,1705.0,unknown,42.94271,-115.9732,,,10/28/2014,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13171495/DataSet/HeadWater/15/Interval/Latest,,CRundberg@idahopower.com,,,,,1242
Idaho Power,,13171550,CJ Strike Dam,,Idaho,Owyhee,17050101.0,1705.0,unknown,42.943736,-115.977041,,,9/30/2012,current,active,,,daily,continuous,stage,feet,,,unknown,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13171550/DataSet/HeadWater/15/Interval/Latest,,CRundberg@idahopower.com,,,,,1243
Idaho Power,,13288200,Eagle Creek near New Bridge,,Oregon,Baker,17050203.0,1705.0,unknown,44.880554,-117.252777,,,10/1/1957,current,active,,,daily,continuous,rated discharge,cfs,,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13288200/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1244
Idaho Power,,13288300,"Eagle Crk at Richland, OR",,Oregon,Baker,17050203.0,1705.0,unknown,44.754723,-117.172775,,,4/16/1999,current,active,,,daily,continuous,rated discharge,cfs,,,,,,electronic,public,,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13288300/DataSet/Flow/DayMean/Interval/Latest,,,,,,,1245
Idaho Power,,13167505,East Fork Bruneau River near Hot Springs,,Idaho,Owyhee,17050102.0,1705.0,unknown,42.559297,-115.513492,,,3/30/2006,current,active,,,daily,continuous,rated discharge,cfs,,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13167505/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1246
Idaho Power,,13162500,East Fork Jarbidge River near Three Creek,,Idaho,Owyhee,17050102.0,1705.0,unknown,42.026319,-115.362746,,,3/30/2006,current,active,,,daily,continuous,rated discharge,cfs,,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13162500/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1247
Idaho Power,,13298050,East Fork Salmon River near Clayton,,Idaho,Custer,17060201.0,1706.0,unknown,44.266869,-114.325422,,,4/22/2004,current,active,,,daily,continuous,rated discharge,cfs,,,telemetry,,,electronic,public,operations,,,https://idastream.idahopower.com/Data/DataSet/Chart/Location/13298050/DataSet/Flow/DayMean/Interval/Latest,,CRundberg@idahopower.com,,,,,1248
